序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
12,,264859662608,31475414,"---雨文雯---",5,女,"来考古了，历史老师上课给我们放了这个",2025-06-06 22:57:31,0,5,"这个人混的圈子怎么那么复杂 xp美强惨 特别特别雷第五小鬼",辽宁,是,https://i2.hdslb.com/bfs/face/da6021e4327bdcc7a5122f870bc61b92a84e56e1.jpg
13,,263109876256,3546591564663401,"秉笔太初",4,女,"谁懂历史老师在历史课上播放这个视频的含金量[doge][doge]",2025-05-18 11:47:57,0,0,"浩瀚长风，天地无极，宇宙无穷",广西,否,https://i2.hdslb.com/bfs/face/6bab353ef8f20a44f904e7128a7d1dd748e7f63a.jpg
14,,262815566592,394500647,"倭寇京观守艺人",3,保密,"含蓄了，直接点名，美狗，少给你龙爷爷添堵！",2025-05-14 21:09:53,0,1,"",四川,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
15,,259847537297,3493263222769989,"卤蛋儿在努力",4,女,"中国话好美！",2025-04-19 12:47:36,0,0,"去读书，去思考",山东,否,https://i0.hdslb.com/bfs/face/7bef4b60cb268dce55cb8ee94623ba7b4055a1cf.jpg
16,,259558974784,389211013,"嘉然今天吃菜花喵",6,女,"🐂",2025-04-05 00:42:37,0,2,"",山东,否,https://i1.hdslb.com/bfs/face/1c46763470b9dfdf0e811fdec176bb6df0e428cf.jpg
17,,258255571089,675160785,"我们都在用力的哈着",5,男,"好",2025-03-30 15:49:40,0,0,"bing",辽宁,否,https://i0.hdslb.com/bfs/face/50d62abcb29c1d4d798b3e327bdc0a9cdf7f9aab.jpg
18,,257686275712,3546700209719309,"绝育过的小猫猫",4,保密,"这么久了都能刷到，真是太好了[doge][支持]",2025-03-13 22:12:31,0,2,"喵喵喵是猫鼠玩家
",湖南,否,https://i2.hdslb.com/bfs/face/07de928367c0d8f51a118bcdc7f51f7b0877aac0.jpg
19,,256697283217,18783496,"心态764",6,男,"黑白本身是一个对立面，如果融合在一起，可以，但是中间要有一个缓慢的过程！
用文言文的话来说，不可操之过急！",2025-03-11 06:28:00,1,1,"生气的时候是天依呀。",河南,否,https://i1.hdslb.com/bfs/face/869e6e67ea99ebea844005f6b940ecca5b5060a4.jpg
20,256697283217,263631709217,18783496,"心态764",6,男,"素描基础理论，三大面黑白灰。",2025-06-04 19:52:15,0,0,"生气的时候是天依呀。",上海,否,https://i1.hdslb.com/bfs/face/869e6e67ea99ebea844005f6b940ecca5b5060a4.jpg
21,,256387805425,18783496,"心态764",6,男,"25型号120毫米防空，迫击炮，自主研发
[doge]",2025-03-07 11:17:05,2,0,"生气的时候是天依呀。",河南,否,https://i1.hdslb.com/bfs/face/869e6e67ea99ebea844005f6b940ecca5b5060a4.jpg
22,256387805425,256387882577,18783496,"心态764",6,男,"对空有效射程，9000米",2025-03-07 11:17:27,0,0,"生气的时候是天依呀。",河南,否,https://i1.hdslb.com/bfs/face/869e6e67ea99ebea844005f6b940ecca5b5060a4.jpg
23,256387805425,256387936353,18783496,"心态764",6,男,"皮卡牵引式机动，，只带360 度可旋转炮塔",2025-03-07 11:18:50,0,0,"生气的时候是天依呀。",河南,否,https://i1.hdslb.com/bfs/face/869e6e67ea99ebea844005f6b940ecca5b5060a4.jpg
24,,256357071713,1170253450,"苛芍芬",5,保密,"对外强硬，对内温柔[打call]",2025-03-06 22:20:20,1,32,"",广东,否,https://i1.hdslb.com/bfs/face/9c009686e513d32140377eef26f095bfff4d9ce1.jpg
25,256357071713,270121858048,1717598130,"酷暑难当的冬天",5,保密,"[微笑]",2025-07-26 13:06:48,0,2,"负重前行的人少了，岁月静好的人就慌了",山西,否,https://i0.hdslb.com/bfs/face/c1a3822601b843d6650d4f8bdfc7f6daaf85f482.jpg
26,,255693878465,3493282212481555,"bili_22468409020",3,保密,"特朗普一系列操作，猜测其目的[吃瓜]很好猜的！抛出查金库，贪的不贪的都不敢露头，趁机整顿政府，安插手下，不听话的踢开，这是对内，对外，偷渡者全都清理掉，消除国内不安定因素！[吃瓜]下一步就是强势要债了，要不成他会进场，左右两边随机",2025-02-26 19:36:41,0,0,"",广东,否,https://i1.hdslb.com/bfs/face/f68d83ece0da660eae250c61d957f753a5d4d6b7.jpg
27,,254371753873,1514484471,"橘猫打盹ing",5,女,"每日一遍 舒服了",2025-02-11 14:49:57,0,0,"",广东,否,https://i0.hdslb.com/bfs/face/2c45396e90ca096abe0de52e3dd9c4f567133ef7.jpg
28,,253706923905,384615382,"季萱_",6,女,"@De-Gea 致敬",2025-02-04 13:12:54,0,0,"总的来说，洛雷登家人丁稀薄是件好事。",海南,否,https://i1.hdslb.com/bfs/face/3af68bac36dd2abb432415f0dcd5bdf05a9b8a09.webp
29,,252941159217,1993654675,"战意电竞__重阳真菌",5,保密,"2025来的。
比这霸气多了。[doge]银杏叶一飘，他们眼神都清澈了。",2025-01-26 23:58:03,0,5,"qq：1492415791",山东,否,https://i1.hdslb.com/bfs/face/2536631666bd6d7a4f58fecbaf8ce8a535ae523c.jpg
30,,253325042304,647135748,"不要学美术快跑",3,女,"被语文老师拿来当课件[笑哭]",2025-01-24 16:28:27,0,12,"",安徽,否,https://i0.hdslb.com/bfs/face/264939bed497dd6bf0771a4d0e2495111c170082.jpg
31,,253248656064,6399446,"illusionlake",6,保密,"啊啊啊，想截图做表情包[脱单doge]",2025-01-23 20:49:25,0,0,"误打误撞进来的",广东,否,http://i2.hdslb.com/bfs/face/0f0b59fa28ab889be0987c71e6ad447e8348ad89.jpg
32,,252355608657,545010867,"yyy鱼鱼鱼yyy",3,保密,"谁这么有才，这也太押韵了",2025-01-20 23:29:54,0,0,"",四川,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
33,,252215979249,1492444560,"星辞b站的号",2,保密,"新年快乐",2025-01-19 13:27:04,0,2,"",江苏,否,https://i0.hdslb.com/bfs/face/cfd508949c7614b94446f58d1a742da5bd627e68.jpg
34,,252208262273,3546606072761165,"呈贡考场C1C2模拟指导",3,男,"震撼",2025-01-19 11:57:26,0,5,"呈贡区第一考场→C1、C2科目二、科目三、考试训练→王教练13888809205（微信同号）科目二 科目三 考试考场内 一对一陪练训练",云南,否,https://i2.hdslb.com/bfs/face/fd22078b286b57e028bc62927fd5a3a2b5454466.jpg
35,,250820894977,1806113673,"MteanLiuGer",4,男,"@我推的__山田凉 @九十岁空中飞人",2025-01-02 22:23:06,0,2,"这个人不懒，什么都写。",云南,是,https://i0.hdslb.com/bfs/face/5ffe016593e5d691f16aac04430059a47a73b2f8.jpg
36,,249791062129,2093036878,"Free-and_love",3,保密,"年度评优评先，奖金加倍",2024-12-21 12:17:52,0,3,"",湖北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
37,,249598429777,3546752191826694,"顺拐走",4,保密,"帅[打call]",2024-12-18 23:29:39,0,5,"",山东,否,https://i0.hdslb.com/bfs/face/e0b98982a1ed01dbbe9562705c9c30995d9c2a2a.jpg
38,,250007824800,3546755257863103,"bili_53487296211",2,保密,"[奋斗]",2024-12-18 13:43:23,0,0,"",广东,否,https://i1.hdslb.com/bfs/face/913d427cda5c43b3ce60d9f270dab580f97f8b6a.jpg
39,,249047301633,356611172,"卸了妆都是鬼a",6,保密,"[星星眼][星星眼]",2024-12-12 14:31:15,0,1,"",辽宁,否,https://i2.hdslb.com/bfs/face/c5898faaf26deee3a82ba4c0c7a9502755bd3eb2.jpg
40,,249042120385,82465164,"还是會有遺憾",6,男,"好",2024-12-12 13:09:36,0,0,"不过只是一个人的挣扎罢了",辽宁,是,https://i0.hdslb.com/bfs/face/119ba650383d9902dae12a3ba7429cda5dd40df3.webp
41,,247941674033,3546763373840499,"Bra1nSt0rm",4,男,"坚定支持",2024-11-28 22:09:11,0,4,"大一新生，记录大学生活ing，持续更新呦（〜^∇^)〜",广东,否,https://i0.hdslb.com/bfs/face/cae21548f2c768326506b6dd318f4fb9db265c94.jpg
42,,248269933552,3546747966064645,"昀箫筠",4,保密,"好看，爱看，多发[打call][打call][打call]",2024-11-28 12:50:42,0,3,"",广东,否,https://i1.hdslb.com/bfs/face/18821a2198b1c00641566f977e97aed848996af9.jpg
43,,247247484400,3494361224448000,"__鱼刺___",4,保密,"@叶子桑yeeeee",2024-11-16 12:46:20,1,0,"",湖南,否,https://i0.hdslb.com/bfs/face/96f2dba62933739921a506d6b741ce6658d577ea.jpg
44,247247484400,246970095585,415189898,"叶子桑yeeeee",6,男,"[喜欢]",2024-11-16 22:41:34,0,0,"来和叶叶子玩耍呀～ 关注数  810  粉丝数  17  获赞数  38  播放数  202  阅读数  0  叶子桑y",湖南,否,https://i2.hdslb.com/bfs/face/cee07f0ff4397f3398b30da7ba8c4836ab2f89e4.jpg
45,,247221181472,1400637226,"亦久亦旧ZS",4,女,"从政治课的课件上看到没想到在这里看到了",2024-11-16 02:02:55,0,0,"把爱留给亦十二！！！
周深荣誉！！！",河南,否,https://i1.hdslb.com/bfs/face/25ec0a3b66d28fae80365b9745eb6398a6462443.jpg
46,,247004262016,359030526,"CC是快乐的夹生饭啊",5,保密,"又帅又酷，好爱呀",2024-11-13 15:36:16,0,0,"",四川,否,https://i0.hdslb.com/bfs/face/2b457e0d1dc082f7e081e2680aaea8bf21b8eafa.jpg
47,,246446049425,3173677,"頭文字N",6,保密,"看不够[打call]",2024-11-10 12:37:34,0,0,"hhh",广东,否,https://i1.hdslb.com/bfs/face/24ce85641cd17cda41de67e00d6b7619718c0907.jpg
48,,245943382208,1932007747,"宏未基",5,男,"[星星眼]",2024-10-31 18:37:41,0,1,"哈！",河南,否,https://i1.hdslb.com/bfs/face/f182e4947b6bc2e7e38672fa7bc59cac8d1f638a.jpg
49,,245656203489,3546671705229584,"轻揽你笑嘴",3,保密,"哈哈哈[喜欢][喜欢][喜欢]",2024-10-31 14:03:13,0,1,"",广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
50,,245532713553,349552166,"鸿蒙証道",6,保密,"这发言也太一致了，太有凝聚力了！",2024-10-29 22:36:14,0,6,"",黑龙江,是,https://i2.hdslb.com/bfs/face/495cffbec06caa4872ebb8bfb71ee32fa1e3c6db.jpg
51,,245497822432,8029744,"天命盖",6,男,"帅啊",2024-10-26 11:55:17,0,1,"",辽宁,否,https://i1.hdslb.com/bfs/face/d96f10ed9df4ca1b2894689cec5a67f5d0b48e94.jpg
52,,245417809296,483995112,"bili_18759634167",3,保密,"坚强决心坚定意志强大力量，鸡皮疙瘩起来了",2024-10-25 12:04:18,0,1,"",河南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
53,,244786400560,253670421,"橙汁和果茶",6,女,"好看",2024-10-17 11:34:11,0,1,"",江西,否,https://i0.hdslb.com/bfs/face/a7839e1c1e980c4bdc3c3a9519d6c5483f2aa421.jpg
54,,244636693984,603170429,"逸驧",5,男,"台独是死路一条",2024-10-15 11:08:16,0,2,"（＾ω＾）",河南,否,https://i2.hdslb.com/bfs/face/479602f3491a2b7619f8051156439a54d2be0a49.jpg
55,,244221894032,1224270705,"EspeciallyBEYOND",5,男,"敬礼",2024-10-09 23:17:41,0,3,"明明机会近在眼前，怎么准备已久的话却如鲠在喉？",重庆,是,https://i0.hdslb.com/bfs/face/0c3da0399d64e1d8761849775c5c90f4734278d0.jpg
56,,243653150465,3546767551367263,"詹姆斯爱嘚瑟",2,保密,"国家实力强大起来，这些发言人也底气十足，霸气侧漏",2024-10-04 20:38:57,0,7,"",福建,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
57,,243678910912,1845857728,"芥介_",5,保密,"嗯",2024-10-03 06:57:36,0,13,"勇者与懦夫",上海,否,https://i1.hdslb.com/bfs/face/701b042f926a6475ae6d82666d719c03e566f278.jpg
58,,243554549712,1429191530,"懵懂的骚年き",4,保密,"大国外交[打call][打call]",2024-10-01 16:29:17,0,2,"",山西,否,https://i2.hdslb.com/bfs/face/cba4d79b62fdb72d0fac463363f61c1f7299465a.jpg
59,,243389960273,3461567985223753,"指尖旋律的狗",5,女,"太帅了！！",2024-10-01 11:37:20,0,0,"反正也没人跟我一样 愿意全力去做一件事",广东,否,https://i1.hdslb.com/bfs/face/3a5f29b6743ebd0a17d93d789ed41f8c8bb6c2cd.jpg
60,,243117502593,438257451,"蟹黄餐车",6,男,"毛主席万岁！中国共产党万岁！相信问题一定会慢慢解决，一切都会好起来的！",2024-09-27 16:35:00,0,5,"各位衣食父母好，先给您磕一个。祝您的生活更幸福，好运连连",河南,否,https://i0.hdslb.com/bfs/face/4079195b53edc2628d964aed4850348ebfd0363f.jpg
61,,243043177265,436820596,"只哄你",6,保密,"[呲牙]",2024-09-26 15:04:55,0,6,"有心结就打个蝴蝶结",山东,否,https://i1.hdslb.com/bfs/face/242e662a7b58b2f235cc7a65719bda5053593daf.jpg
62,,242976240945,2005790853,"BKKMM",5,保密,"咱们得外交天团，帅帅帅[给心心][给心心][给心心]",2024-09-25 16:00:32,0,2,"",甘肃,否,https://i0.hdslb.com/bfs/face/00afdd3a4c615a4d00fa56daf03096abeb6e88db.jpg
63,,242372097009,2049356698,"我也不懂起什么名",5,男,"台独…
只有死路一条",2024-09-17 18:25:05,0,2,"专注于搬运老物
随缘更新",广西,否,https://i1.hdslb.com/bfs/face/396bac97d06d876ab97c3ee4b8a85f8c997249e5.jpg
64,,242114220480,436117137,"泡泡茶壶VmV",5,男,"实力是维护正义的基础 
尊严只在剑锋之上
真理只在大炮射程之内
祖国强大，人民强大，人民万岁，祖国万岁
 五星红旗迎风飘扬，胜利歌声多么响亮
歌唱我们亲爱的祖国，从今走向繁荣富强
  人民万岁",2024-09-13 20:02:09,1,25,"世界可以没有日本  但不能没有海洋 ",湖南,是,https://i0.hdslb.com/bfs/face/d81718e62b339fc148e7461e4bf061b645dc39f4.jpg
65,242114220480,252192847312,315235317,"梦米_糯糯喵",6,保密,"能让索马里海盗转正的国家，你知道是谁吗？就鱿鱼，实力是维护正义的基础。我记得能撤侨，好像还是俄罗斯的空天军。在附近，我们才安全撤出来，实力有用吗？人家不承认你，所以说赶紧下场去做鱿鱼，受不了他了",2025-01-12 18:14:11,0,0,"",广西,否,https://i0.hdslb.com/bfs/face/8529018a1eb46780f4f4fde64250a1c938df120c.jpg
66,,242037269616,3546685663873916,"赛小息打野",4,男,"新华社能给我点个赞吗我们的生活越来越好啦加油",2024-09-12 20:35:44,0,0,"1+1有时间不能等于二。",江苏,否,https://i2.hdslb.com/bfs/face/9478df7bf30d26296422c635884946267ab34e9d.jpg
67,,241942693344,1688153709,"迎楠而上建造师",5,保密,"中国有句古话",2024-09-11 16:53:48,0,3,"知识改变命运",河北,是,https://i0.hdslb.com/bfs/face/314b2157ce47ee3ee8280135a47842a73d5766eb.jpg
68,,239016902000,3461568972982659,"若是柳琳城",5,保密,"这怎么三年期的视频才刷到",2024-08-20 18:50:50,0,16,"后来重闻往事如耳边过风不慌不乱",吉林,是,https://i0.hdslb.com/bfs/face/6374268055b9ad9caabc8fb3f5819fb53f3d4785.jpg
69,,238825089552,2021762501,"凌晨午餐",5,保密,"这！",2024-08-19 20:21:57,0,0,"踏开脚步往前走 空无一人的街道",河北,是,https://i2.hdslb.com/bfs/face/5cd92d4260553db8a0c7e159d09e57464bef0bea.jpg
70,,238787489680,10487933,"皇太后杀手",6,保密,"@毕竟是八奈見",2024-08-19 17:31:33,0,0,"     ",福建,否,https://i2.hdslb.com/bfs/face/5e6c36ab3dfa6a0876c588bc5201f0cc4fe1378a.jpg
71,,237815401376,3546569823488386,"Gininnovate",4,保密,"骄傲",2024-08-15 07:53:15,0,2,"",浙江,否,https://i1.hdslb.com/bfs/face/42f3011cc5284060415ca32dd5ba9fbe0a0a47a0.jpg
72,,237157769792,1566999,"Yui2333333",6,保密,"哇塞，好🐮逼！",2024-08-11 23:12:24,0,12,"",山东,是,https://i0.hdslb.com/bfs/face/d3ece02a1e975c035ced4217159068cb9a95f0c2.jpg
73,,235057080336,567287619,"闪耀任意",6,保密,"[呲牙]",2024-08-01 19:55:27,0,12,"ⓘ 该账号封禁中",福建,否,https://i0.hdslb.com/bfs/face/715c6c569ef1bb3c081c1acc6f68377d482cb339.jpg
74,,233390790080,300330560,"YangYuanyyzyq",6,男,"台独是死路一条",2024-07-24 19:29:16,0,8,"举报我的小卡拉米，举报我的家里人替我挡灾",山东,否,https://i2.hdslb.com/bfs/face/c9bf479d53ce18b12d6f64f732ef60246d0fa909.jpg
75,,232094358400,3493080682465669,"可以当长辈",5,保密,"汪文斌[星星眼][星星眼]",2024-07-18 07:52:00,0,1,"",贵州,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
76,,231972209392,89843205,"边九九_",5,保密,"@酥苏丫",2024-07-17 16:56:49,0,0,"ʚWe are oneɞ  EXO 사랑 하 자",广东,否,https://i0.hdslb.com/bfs/face/19102fb4398dc056fa1f7ebc74f8ca689cfe4f8d.jpg
77,,231493266592,1276631835,"丿FengLu丶JU",5,男,"[2024][保卫萝卜_笔芯]🤟🇨🇳🌎",2024-07-15 00:42:50,0,2,"",河南,否,https://i0.hdslb.com/bfs/face/d210a1f5e1f801ca7ce958ab806d9733cc30b673.jpg
78,,231360896128,436834088,"80万对60万优势在我",6,男,"[tv_呆]",2024-07-14 11:27:48,0,0,"看你爹干什么呢",江苏,否,https://i2.hdslb.com/bfs/face/e019bbdca70f206a8ee6f2568a5e1d38816fb3df.jpg
79,,230549451808,525374421,"迷路的小只因",5,男,"中国外交代表向发送了一条成语文件夹
中国外交代表向你发送了一条典故压缩包
中国外交代表向你发送了一条地方习俗歇后语压缩文件夹
翻译：这把生死局",2024-07-09 21:54:28,0,383,"ikun一枚，喜欢唱跳rap。基金会和后室爱好者",安徽,否,https://i0.hdslb.com/bfs/face/500c9bcfe1b50a6e9bda01923d8b9c68b55171be.jpg
80,,228839510720,1341078194,"being樂樂",4,男,"台湾是中国的台湾！",2024-06-30 00:19:08,0,8,"困苦学生党，25高考生，小国澜
做一个发光的小太阳，大家都要开心吖！",江苏,否,https://i2.hdslb.com/bfs/face/16f3bd6153cfc10fe921f47518e5d3bff98347e4.jpg
81,,228301737264,3546659453667927,"小猫睡觉呢",4,保密,"啊我真的，特别特别喜欢他们啊",2024-06-26 21:26:23,0,3,"",江苏,否,https://i0.hdslb.com/bfs/face/d53adb543c55c89ffa9aee3731c7d2257bbea6b1.jpg
82,,227819248640,3493077603847110,"NQ呐呐呐呐呐",4,保密,"外交部的这些在哪里看啊，一直很喜欢汪文斌[委屈][委屈]",2024-06-23 22:04:59,2,108,"",山东,否,https://i0.hdslb.com/bfs/face/abeae46fb91d01e66beccd14d7dccfd3dee28101.jpg
83,227819248640,230817519840,85569695,"绵绵猕猴桃",6,保密,"@外交部发言人办公室 之前的记者会都在这里看。不过汪文斌这个月已经离开发言人职位，就任驻柬埔寨大使了",2024-07-11 12:08:28,0,23,"",山西,否,https://i2.hdslb.com/bfs/face/4344bb9ba0fdddfa8387211d29703c38b095bee2.jpg
84,227819248640,275224897856,227037711,"深秋松木",6,女,"有b站了",2025-09-06 11:41:52,0,0,"",广西,否,https://i0.hdslb.com/bfs/face/c586e78d463b4d904be0702910ee64b56f5da464.jpg
85,,227680979776,641379711,"蓝衣员工马德",5,保密,"2",2024-06-23 02:25:49,0,0,"",山东,否,https://i0.hdslb.com/bfs/face/2ed2daef38f8ed3bf429def56075ae55e736a9cd.jpg
86,,227590862976,3537119565842689,"北境-ELEVEN",3,男,"这就是00后管理的账号吗？",2024-06-22 16:31:32,0,4,"理智与疯癫并存，热情与冷淡不悖。",福建,否,https://i1.hdslb.com/bfs/face/161ba9f47798ab7e97ea055278064198d2040262.jpg
87,,227244511104,3493111653206371,"小呀小红芍",2,保密,"好帅啊[星星眼][星星眼][星星眼][星星眼][星星眼][星星眼][星星眼][星星眼][星星眼][星星眼][星星眼]",2024-06-20 14:53:54,0,0,"",江苏,否,https://i1.hdslb.com/bfs/face/69b54a72c3cbf214963f8b809d2c0681934ee88c.jpg
88,,227180648816,406143423,"来一碗小仙女ハグ",5,保密,"[支持][支持][支持]",2024-06-20 02:41:11,0,1,"",浙江,否,https://i0.hdslb.com/bfs/face/9cc2df777d5250afe5d66eddd1b70a5ebfa9267b.jpg
89,,226619140288,1435041290,"2024有麦麦麦月月",5,保密,"求背景音乐[脸红][奋斗]",2024-06-16 16:09:23,0,0,"",河南,否,https://i2.hdslb.com/bfs/face/b3be05cde0d8717b8b981098980420a37e8fa0db.jpg
90,,226519649600,444635738,"ELEVEN_KILO",6,女,"有些我感觉翻译了他们也听不懂，毕竟他们不懂中国文化",2024-06-15 23:29:06,0,1,"",陕西,否,https://i2.hdslb.com/bfs/face/2531036c040d0e67c8cbada5251b3e39a0cba3f7.jpg
91,,226460817136,1384323754,"伯利亚理发师",5,保密,"中国第一",2024-06-15 17:39:42,0,1,"",浙江,否,http://i1.hdslb.com/bfs/face/3b606863eda63a71ec240f95fa2bdfb9a7b2a8a2.jpg
92,,226330363456,58941360,"-墨_",3,男,"好喜欢啊，后面暖暖的哭掉了[大哭]",2024-06-14 21:50:19,0,0,"",山东,否,http://i0.hdslb.com/bfs/face/162c8f3e1b6a864098b859f0c88124e8cd1c28f6.jpg
93,,226201716400,293034060,"特莉------------休",6,保密,"咱们的外交部这几位就是咱家形象代表，强大犀利，儒雅温和，落落大方，完美诠释中国的优点[打call][打call][打call]",2024-06-14 02:45:41,0,8,"平等的爱着我老婆的老婆和我老婆的老公，以及我女朋友的老婆也是我的老婆",北京,是,https://i0.hdslb.com/bfs/face/261a619bf6afc33245bca8e996f797213a6a6bfc.jpg
94,,225597835616,38725454,"花间月影朦胧",5,女,"好厉害啊",2024-06-10 11:52:38,0,0,"你若安好，管他什么天",贵州,否,https://i2.hdslb.com/bfs/face/dcf781d82894a68b79129f07bf98025f92aa2805.jpg
95,,225554686496,3546690405534059,"翀Lkc_",3,保密,"中国加油",2024-06-10 02:14:05,0,1,"",浙江,否,https://i2.hdslb.com/bfs/face/9b8dd2d43259a8bdaf885ea8e68575a9f2e6ede2.jpg
96,,225302398208,5322552,"茶司马",5,保密,"我在看这个还是不是我认识的新华社了😂😂😂😂",2024-06-08 17:26:13,0,1,"曾用名：茶茶VS茶茶，因为叫茶茶同名的很多，茶爷也不少，茶公子也超多的。其实就是想改个名叫茶茶而已。哈哈哈",广东,否,https://i0.hdslb.com/bfs/face/2cd9de1d8770d06abdd61928f8319700fae16fc4.jpg
97,,225295074528,3493095033276618,"言堇色想要抱抱",5,女,"好帅",2024-06-08 16:32:32,0,1,"天鹅坪:言堇色 i人/同人女/编辑器爱好者
扩列q811362162",江苏,否,https://i0.hdslb.com/bfs/face/b2b74af009c8b57b5549e4625b94ee5dfb4dbe7c.jpg
98,,225102560400,1989862109,"Victor2004",5,保密,"中国共产党致力于中华民族千秋万代，百年恰是风华正茂。",2024-06-07 13:11:38,0,3,"",内蒙古,否,https://i2.hdslb.com/bfs/face/1888eee50e1e517f4459d9147cf098514f1c174b.jpg
99,,225090171664,340201175,"CanoyLake",6,保密,"[微笑]",2024-06-07 11:54:34,0,2,"",上海,是,https://i2.hdslb.com/bfs/face/7eeb4bb745e234f86b95994469ae35fa6cc5af91.jpg
100,,224985111680,3494364907047130,"扁舟子ww",4,保密,"[呲牙][呲牙]",2024-06-06 18:29:01,0,1,"",湖北,否,https://i1.hdslb.com/bfs/face/57b2d8a3c047dc66c9b96804f2a226713b66d5b2.jpg
101,,224954117728,3493289038711598,"理智成才",2,保密,"好喜欢赵立坚和汪文斌[脱单doge]",2024-06-06 14:28:37,0,1,"",江苏,否,https://i2.hdslb.com/bfs/face/0fedd731b70aa0ee2da506e3d70f87dc869d98fd.jpg
102,,224852799248,480633749,"枢铭_",5,女,"@清凌-- 联合技!",2024-06-05 21:14:21,1,0,"ᯠ_  ̫ _ᯄ੭",江西,否,https://i2.hdslb.com/bfs/face/9a2ebf61fa9a4157d6238c7979eb3d73fd23cda8.jpg
103,224852799248,225091868000,1928396352,"清凌--",5,女,"还得是这个[支持]",2024-06-07 12:05:39,0,0,"爱好唱歌，欢迎私信找我合作！
——————
没有谁的生活会一直完美，
但无论何时都要向着前方，
满怀希望就会所向披靡。
——by《撒野》巫哲",江西,否,https://i0.hdslb.com/bfs/face/b49fc721a905ab682d8b7213f9bf57094fd98496.jpg
104,,224247822160,1895299884,"假牙有点痛",5,保密,"我说怎么刷到了，原来今天是六一儿童节[脱单doge]",2024-06-01 22:26:29,0,4,"",河南,否,https://i0.hdslb.com/bfs/face/63db2572f53664bea4e93f6c11e8ea83456813a8.jpg
105,,224193865088,407249913,"语阑",6,保密,"24年六一又刷到了嘿嘿",2024-06-01 16:42:38,0,5,"今日欢呼孙大圣，只缘妖雾又重来",湖北,否,https://i0.hdslb.com/bfs/face/bddcd9271cf961e28f8760bb474dd52e932a72a5.jpg
