序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
29,,201812003552,1977476803,"比利時女俠黑蝴蝶",4,保密,"21世紀男女主流人生
0-12 小孩子時期
12-15 青少年時期
15-18高中生時期
18-22學生時期或工作
22-25 實習生時期
25-40都市青年
40-50都市老青年時期
50-60 父母時期或者快樂老青年
60-75 快樂中老年時期或者總裁領導時期
75-85中老年時期（開始蕭條）
85-100 老年生活",2024-01-05 17:09:01,0,24,"",广东,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
30,,201384841616,350200917,"如果当时_L",6,保密,"6",2024-01-02 17:59:25,0,1,"冥冥之中，自有天意",江西,是,https://i0.hdslb.com/bfs/face/e774d8ea8943556baf8161aed92072b081cff4c6.jpg
31,,200802532016,650542073,"织田的咖喱",5,女,"妈呀，已经是一年前了吗时间过得好快啊",2023-12-29 23:03:01,0,5,"懒散(∂ω∂)",广东,否,https://i2.hdslb.com/bfs/face/c74bf156302d2f8f41ab31d4245eb1c4a4a3efbf.jpg
32,,198884585680,1364280429,"Crusoee",5,保密,"legend",2023-12-16 17:00:55,0,0,"心平能愈三千疾",四川,否,https://i0.hdslb.com/bfs/face/a59b46ae4ca3f6b04263361d07dcf5636be45a82.jpg
33,,198596294160,130856201,"账号已注销",,保密,"圣光啊，你有看到那个敌人吗",2023-12-14 18:18:17,0,1,"",河南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
34,,195277497856,388264547,"果戈里斯坦因",6,男,"女王年轻时好美",2023-11-21 09:27:54,0,2,"所谓辉煌的人生，不过是欲望的囚徒。",辽宁,否,https://i2.hdslb.com/bfs/face/2c3a7b6ce4c6de0f6f12c20151b29bbcaea39f27.jpg
35,,195202060144,393876114,"账号已注销",,保密,"@机器工具人 听歌识曲",2023-11-20 18:37:58,0,0,"",山东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
36,,193869450288,26198546,"__萬葉",6,保密,"一位优秀的君主",2023-11-11 03:14:56,0,5,"阴霾天空，隐约雷鸣",山东,否,https://i2.hdslb.com/bfs/face/47dd68d0a25cb0d7d6f07b434b45ad638399cb08.jpg
37,,192809916928,35568598,"斯巴达好烦",6,男,"@Mars知了 泪目",2023-11-03 21:12:41,0,1,"一夫当关万夫莫开",山东,否,https://i1.hdslb.com/bfs/face/8cfa1d98db4727e38b47e06132ec0e4e2f277ed8.jpg
38,,192164622992,350763886,"bili_73483",6,保密,"再见了",2023-10-30 01:36:32,0,0,"",山东,否,https://i1.hdslb.com/bfs/face/1eb9b60a8c920173c818679237c61001ed51db3d.jpg
39,,191691101936,393876114,"账号已注销",,保密,"you can get she is that girl",2023-10-26 19:43:29,0,2,"",山东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
40,,191307095648,504823911,"504823911",6,男,"未来还要见证历史，乌克兰，以色列，英国女王，戈尔巴乔夫和安倍晋三，下一段历史是丹麦女王吗，这个时代并不美好，他让我们见证了太多的历史",2023-10-23 21:05:50,0,13,"可能我们每天都在自杀，杀死一点点天真，杀掉一点点真心",辽宁,否,https://i0.hdslb.com/bfs/face/e1652f60e1c4820e85edf6dcb7ec38326d11b57b.jpg
41,,190893996832,478484889,"朝廷呵呵6",4,男,"原来我们一直在见证历史，成为历史。
将来的历史书上会记载这一个个我们曾见证过的历史时刻。
而我们，能不能被后人记住，成为历史。",2023-10-20 22:17:52,0,3,"有趣的灵魂与你相遇",广东,否,https://i0.hdslb.com/bfs/face/3454531eb5650b96fec04d706edef04ba21b02d0.jpg
42,,186274056288,1117224608,"阝卩阝卩",5,男,"1860年，法兰西，英吉利，大清，圆明园。所以咱为什么要缅怀英国女王？",2023-09-17 11:22:21,8,26,"",吉林,是,https://i2.hdslb.com/bfs/face/40e5e3d045788798b4c9fa18e85dd85498cf144c.jpg
43,186274056288,187944381008,12271094,"骁詠_a",5,女,"但是这都不是她在位时干的啊",2023-09-29 13:18:51,0,36,"",河南,否,https://i2.hdslb.com/bfs/face/788c0bb71dec4f8b2d87e89970d48e8fda789a05.jpg
44,186274056288,191100698720,392045211,"逆叛再别星星DG",6,男,"没人缅怀她啊",2023-10-22 11:04:53,0,0,"",黑龙江,否,https://i0.hdslb.com/bfs/face/3f8a1ac14a452761e728f58699d53a2a16ac83f4.jpg
45,190415465392,191307313280,504823911,"504823911",6,男,"回复 @冰翼飞旋 :你觉得会有人包括我会缅怀麦克阿瑟和杜鲁门吗？",2023-10-23 21:07:10,0,5,"可能我们每天都在自杀，杀死一点点天真，杀掉一点点真心",辽宁,否,https://i0.hdslb.com/bfs/face/e1652f60e1c4820e85edf6dcb7ec38326d11b57b.jpg
46,191101060128,191373684624,272000519,"_格律詩_",6,保密,"回复 @摩洛哥的玩具 :哈哈哈哈哈",2023-10-24 12:17:24,0,0,"要似昆仑崩绝壁，又恰像台风扫寰宇。重比翼，和云翥。",河北,否,https://i2.hdslb.com/bfs/face/beed350c5b55a9c148e5c69c1d5c22650bdc72ca.jpg
47,186274056288,191605624320,44772979,"我叫潘小鱼",6,保密,"我觉得不是缅怀，更多是一种感叹，采用我看到的某位b友评论是，这种悲伤或者感叹是对已有熟悉事物的惋惜和爱戴之人的尊重。当年伟人离开我们时，在许多人心里就和天塌了一样，我想这是同理的。",2023-10-26 03:31:18,0,38,"这个人是真的懒，",广东,否,https://i1.hdslb.com/bfs/face/780281ecb3ee479f29a9f2864b3bf86684c01978.jpg
48,197355400464,197383943920,44772979,"我叫潘小鱼",6,保密,"回复 @初天QwQ :那个感慨会不会好点？[笑哭]",2023-12-06 13:42:37,0,1,"这个人是真的懒，",广东,否,https://i1.hdslb.com/bfs/face/780281ecb3ee479f29a9f2864b3bf86684c01978.jpg
49,191605624320,213221807648,3546577570368250,"账号已注销",,保密,"回复 @我叫潘小鱼 :还是不一样的
1976年3位伟人都走了，对他们的离开，老一辈人是发自内心的、天塌下来一般的悲痛，这种悲痛是充满了缅怀与敬仰的悲痛。但对伊丽莎白老太太的离开我们更多的只是感叹时代的变迁，感叹自己见证了历史，并不是因为她的离开而感到悲痛欲绝",2024-03-20 20:26:09,0,6,"",安徽,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
50,190415465392,223641311088,1202581294,"米尼岗m134机枪",4,男,"回复 @冰翼飞旋 :不说以前就说现在日本天皇干了几件人事？缅不缅怀是个人的事情，你不想没人逼你啊，而且没几个人缅怀啊",2024-05-28 22:46:29,0,3,"该账号因存在违规行为，已永久封禁，请互相监督文明发言",山西,否,https://i1.hdslb.com/bfs/face/c327f4dac6fe1c9090b1024eb58e0ec05625bfa0.jpg
51,,185168644960,1331898861,"奶狗的打几把玩爽了",5,男,"一年了",2023-09-09 13:24:45,0,4,"互关互赞",辽宁,否,https://i0.hdslb.com/bfs/face/098ce42097208a8700443fce3f40385698fe62c8.jpg
52,,185165885152,172694533,"腾易Usee",6,男,"一年了",2023-09-09 13:05:40,0,2,"我是谁",广东,否,https://i1.hdslb.com/bfs/face/0ceda899cdfdd8630d3f349d87b33026f7d763de.jpg
53,,185142216784,145650622,"瑞可六芒星",5,女,"这么快，老太太已经走了一年了",2023-09-09 10:08:10,0,22,"Cute and whimsical  学习中，小透明，不回复",山东,否,https://i1.hdslb.com/bfs/face/c98c70da232dc01677a39b9c62bc9beab9e2f225.jpg
54,,185035492480,403015778,"大葱花小包子",6,保密,"女王陛下已经离开一年了，真快啊……",2023-09-08 14:53:06,0,11,"个性签名什么的太麻烦了",陕西,否,https://i2.hdslb.com/bfs/face/b245cba7ff041a523bc68c85c88629932a613ab7.jpg
55,,184327340608,358533308,"拉卡爱吃辣",5,男,"居然已经一年了吗",2023-09-03 10:44:08,0,9,"我与春风皆过客，君携秋水揽星河///当知足凌驾于人格之上，幸福将会贯穿一生。",湖南,是,https://i2.hdslb.com/bfs/face/2bee1fb5cb3131d09610b775de88e10c6ae8d8a6.jpg
56,,184211516512,247231188,"致不共戴天的你_",5,保密,"真正的天之骄女",2023-09-02 16:00:02,0,1,"✝︎",广西,否,https://i0.hdslb.com/bfs/face/f7cb7ffd584f79dc525b15ac81f1fc06de25965b.jpg
57,,183499992400,381681912,"LanaDelRey反黑站",6,保密,"history in your eyes.",2023-08-29 02:46:35,0,5,"我走到哪里别人都说我知性美",天津,否,https://i0.hdslb.com/bfs/face/022e89ea71c4879d066cd821a8dae14608f3ec45.jpg
58,,167572073264,495633722,"链锯修腿毛",6,保密,"女王一辈子的贡献比欧美大部分虫豸政客合起来还要多得多",2023-05-30 00:38:18,1,88,"这个人很神秘，什么都是乱填的",甘肃,否,https://i2.hdslb.com/bfs/face/1d0f6dc12f5860afc2271aa9b18ac46803dc695b.jpg
59,167572073264,200843038176,3493296412297683,"Chinese-Republic",4,保密,"确实",2023-12-30 09:22:04,0,3,"伽古拉斯•伽古拉/蛇倉翔太(青柳尊哉 飾):
為惡甚者一旦改悔為善亦必強，黑暗與光明皆可斬斷。我就是很喜歡這一點。蛇心流，蛇心劍，還請賜教。",澳大利亚,否,https://i0.hdslb.com/bfs/face/b6c8ed247c38b0eb2bbc88b560161a049f328e48.jpg
60,,150823174240,1402815432,"账号已注销",,保密,"见证历史",2023-02-04 22:01:43,0,15,"",江苏,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
61,,137373823216,494475890,"龙猫炒饭",5,保密,"视频发了之后看了很多次了，有一种失落感",2022-11-13 13:07:33,1,80,"做自己",湖南,否,https://i2.hdslb.com/bfs/face/fc72317d1937fe3c85bf9900e76d193b909df3f7.webp
62,137373823216,201053998640,283658953,"南部の花が咲く",6,男,"时间过得好快",2023-12-31 16:06:10,0,1,"躺平了",广东,是,https://i1.hdslb.com/bfs/face/8f10e90673e2ad59858ce71edb419595d0660778.jpg
63,,129433052048,2035748656,"呵呵给你一榔头",5,保密,"别了，伦敦桥",2022-09-09 23:14:29,0,273,"",河南,否,https://i1.hdslb.com/bfs/face/4aa7ead340519ac88ee64f6747bda2a97b507e3d.jpg
64,,129433007584,20814948,"星期天的旅途",6,保密,"没怎么注意她，没想到还是走了",2022-09-09 23:13:36,0,84,"懒人一个",福建,是,https://i0.hdslb.com/bfs/face/6e24dc3929c0f4a2982277068cc76d12b0e0f4c6.jpg
65,,129432843472,399153380,"_素履之往",5,保密,"晚安",2022-09-09 23:13:29,0,31,"风雨正苍苍",湖北,否,https://i2.hdslb.com/bfs/face/90980b4e63e3cd3be2437b15e294a4d6e4473150.jpg
66,,129432990224,1449512996,"蜜桃狗蛋茶",5,保密,"我总以为，一个人再老，总是可以多活几年的…",2022-09-09 23:13:14,3,500,"逃离狗一中",山东,否,https://i2.hdslb.com/bfs/face/78f3bd2be89cab8ffdfc76b461648bef55e96dba.jpg
67,129432990224,195535219120,507400936,"熔毁的余火",5,保密,"一个人活得再久，也总是有尽头的……",2023-11-23 00:36:14,0,12,"这手不要也罢",吉林,否,https://i1.hdslb.com/bfs/face/1fd3310f3c673751735a49a169582ba2c0bbb18f.jpg
68,129432990224,208961580784,402527956,"要初音更要未来",6,保密,"当时听到袁老去世的消息时我也是这样想的，我印象里的袁老一直都是活在教科书里那个五六十岁里的形象。好像我爷爷，小时候站在农村老家徬晚山头上就可以看见他劳作一天的身影伴随着夕阳向我走来，听到他的名字就会安心，好像他从来不会老去。当然女王和袁老对于我们来说没有可比性，只是有感而发一些文字。",2024-02-20 13:16:47,0,99,"……",辽宁,否,https://i1.hdslb.com/bfs/face/729783ac01aed9cf480ced33ed27cd32164ed1b0.jpg
69,129432990224,221887374800,1620557852,"生盐赫燧鎏",5,保密,"书中的历史是凝固的冰面，但现实却是奔流不绝的江河[笑哭]",2024-05-17 19:23:54,0,35,"诺亚诺亚诺亚诺亚诺亚诺亚诺亚诺亚诺亚诺亚诺亚诺亚",甘肃,是,https://i2.hdslb.com/bfs/face/1f0e6cd322d244e36fd1d466ac87c3118fc640b1.jpg
70,,129432968848,497082812,"美味一壶酒",6,保密,"见证历史",2022-09-09 23:12:46,0,10,"核弹不需要太精准",江苏,否,https://i2.hdslb.com/bfs/face/de8d5868714b05639c2939272c63b50c72fc00a3.webp
71,,129432752144,285046130,"渐行x",6,女,"走好",2022-09-09 23:11:36,0,12,"别看了，再看沉迷了",安徽,否,https://i2.hdslb.com/bfs/face/703742af911971904ada748b55b6f71ada13cb22.jpg
72,,129432751456,400706879,"同志来口伏特加",6,保密,"为数不多的活在历史书上的人，去世了……",2022-09-09 23:11:35,0,179,"",江苏,否,https://i2.hdslb.com/bfs/face/442136019c2b50a1be4fb613edbe20ea62f0c1db.jpg
73,,129432728576,1843424429,"蓝卜绩逆345",5,女,"见证历史",2022-09-09 23:11:07,0,10,"已阅，苟僻不通",山东,否,https://i2.hdslb.com/bfs/face/07b5c8ab3c701a609dfec15e86066319a63aa086.jpg
74,,129432648544,359816459,"圈诶圈",6,保密,"晚安女王",2022-09-09 23:10:57,0,13,"ⅰ⃝该账号封禁中，只允许发布音乐视频",陕西,是,https://i2.hdslb.com/bfs/face/428b4e5dd2785669ad027eff3136e4db70be00d4.jpg
75,,129432460176,177133033,"SuuRin9syao_",5,保密,"見證曆史",2022-09-09 23:10:20,0,3,"属性复杂，素质不详。",江苏,否,https://i1.hdslb.com/bfs/face/f8cfd5c88218cc59454117eeb1f1c9fc2266a505.jpg
76,,129431982848,506636402,"怜故乡",5,保密,"之前听同学说英国女王得了新冠好像，然后现在就很突然",2022-09-09 23:06:52,0,34,"个性签名",山东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
77,,129431886672,2129214396,"凌空maxii",5,保密,"不明白为啥那么多人能共情啊，可能是我见识太少了吧……",2022-09-09 23:06:28,2,430,"",北京,否,https://i0.hdslb.com/bfs/face/7a7efcb154bb19e0de8592b7677bb22390088130.jpg
78,129431886672,167571844352,495633722,"链锯修腿毛",6,保密,"女王本人真的很优秀，但是有些米字旗家奴后代太忠了[抠鼻]",2023-05-30 00:34:52,0,19,"这个人很神秘，什么都是乱填的",甘肃,否,https://i2.hdslb.com/bfs/face/1d0f6dc12f5860afc2271aa9b18ac46803dc695b.jpg
79,129431886672,222163107024,289366175,"Heartbreaker-x",6,保密,"因为抛开政治因素不谈 她是个很有能力很聪明的人",2024-05-19 13:00:35,0,18,"",山东,否,https://i2.hdslb.com/bfs/face/83a997fc0fab141d30ccb1def524bff5161303c5.jpg
80,,129432014288,381870238,"罗德拉夫斯基",6,男,"我以为她会永远不死，没想到啊",2022-09-09 23:06:20,0,39,"打倒资本，英特纳雄耐尔终会实现",辽宁,否,https://i1.hdslb.com/bfs/face/87cc5df7a8908c62a8b7913758f17af8a220850c.webp
81,,129431838592,470063397,"ixx司绫bro",6,女,"伊丽莎白[保卫萝卜_哭哭]",2022-09-09 23:06:01,0,6,"“My angel of my life is Weslie.”",广东,是,https://i0.hdslb.com/bfs/face/1b2e07a8b5f040f5673e231835cfbd16a3368370.jpg
82,,129431827872,64936386,"缓缓飄落的楓葉像思念",6,保密,"她到了，英联邦也就倒了",2022-09-09 23:05:48,1,18,"",江苏,否,https://i0.hdslb.com/bfs/face/bdda531a646c67a3174d6391c23d2e96af09c759.jpg
83,129431827872,195535088800,507400936,"熔毁的余火",5,保密,"代英现在彻底沦落成二流国家了",2023-11-23 00:36:54,0,1,"这手不要也罢",吉林,否,https://i1.hdslb.com/bfs/face/1fd3310f3c673751735a49a169582ba2c0bbb18f.jpg
84,,129431934288,404386322,"线粒体氧化酶",6,保密,"女王她真的太累了，终于可以好好休息了",2022-09-09 23:05:47,0,39,"爱狼的小火鸡",山东,否,https://i2.hdslb.com/bfs/face/bc3218a74345f2ca76a39e2e435cec7423960753.jpg
85,,129431807040,4807657,"罗雷命叁千",6,保密,"老太太，走好吧",2022-09-09 23:05:22,0,14,"",广东,否,https://i1.hdslb.com/bfs/face/e52c61fe09503dcfacc359bf24dda93ba05dd728.jpg
86,,129431633920,340737927,"吸蚊蚊蚊少女",4,女,"@巧克力还是力克巧",2022-09-09 23:04:22,0,2,"从你第一次握住我的手，你就不可能置身事外。",广西,否,https://i0.hdslb.com/bfs/face/b719a3993b47871acad7d7e80ea11d12c2f1867a.jpg
87,,129431116960,1280722734,"Darth-LLL",5,保密,"[热词系列_破防了]",2022-09-09 23:01:08,0,2,"",广东,否,https://i0.hdslb.com/bfs/face/813ab2ad1f78ae89c1d7b076f1bc4a8b003ad7f7.jpg
88,,129431219296,396517326,"点点-点点-点",5,保密,"就感觉老太太一辈子也不容易啊",2022-09-09 23:00:43,0,29,"",河南,否,https://i0.hdslb.com/bfs/face/0e06815dcaedc9a9519d14f28805105cfb66333d.jpg
89,,129430592672,7913898,"长白若梦",6,保密,"一个时代落幕了",2022-09-09 22:57:00,0,5,"",江苏,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
90,,129430482304,446375028,"evakuang",5,保密,"很和蔼的一个老太太，有点舍不得她离开[大哭]",2022-09-09 22:55:11,0,16,"",广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
91,,129430282672,524972976,"熬醋de印钞员",5,女,"@印鈔機",2022-09-09 22:54:22,0,1,"鼓声随听绝，帆势与云邻",甘肃,否,https://i0.hdslb.com/bfs/face/b8d01a4a9957679b7e737ecb159d03be05391fb9.jpg
92,,129430114560,646469374,"静靜静静",5,保密,"这弹幕[辣眼睛][辣眼睛][辣眼睛]",2022-09-09 22:53:44,0,52,"",广东,是,https://i1.hdslb.com/bfs/face/34c3798ccf53fe42c597c67df186070d22fd9608.jpg
93,,129429746880,502928261,"淘气鼠吖",6,保密,"我对这位老太太了解不深，但是她笑的时候总能给我一种和蔼可亲的感觉，，以至于她的离世让我感到有些不舍，再见，老太太",2022-09-09 22:51:11,0,34,"万万没想到啊！(^▽^*)",广东,否,http://i2.hdslb.com/bfs/face/e927c6d60b2e775acd012f6dd98e35bb6e4af20b.jpg
94,,129429578976,1079114742,"一个结构空位",5,保密,"落日的余晖随着伦敦桥的坍塌而消逝",2022-09-09 22:49:28,0,11,"у",湖北,否,https://i0.hdslb.com/bfs/face/b4a625fd8596a231db54ce9188d9edf91d76fb7d.jpg
95,,129429239600,472990473,"小枫纸Cat",4,保密,"突然感觉自己遇到这种事会很难过，那一天",2022-09-09 22:47:20,0,3,"寻找心中的净土，可惜没有",广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
96,,129429145632,480849511,"织予时",5,女,"天呐 她真的在位好久 说真的没有想到会在今年去世  感觉英国这段期间可能会很乱（）",2022-09-09 22:46:32,0,2,"有十二小时时差 消息不定时回复
个人账号别对我指手画脚
镇魂|认识的人刷到我的视频麻烦当不认识谢谢",福建,否,https://i1.hdslb.com/bfs/face/ba644e3e536f05164a1b7b167da90c0d7941dcca.jpg
97,,129429137840,4536072,"慕言小蓝",6,保密,"五彩斑斓可爱又优雅的老奶奶",2022-09-09 22:46:22,0,11,"",重庆,否,http://i1.hdslb.com/bfs/face/af239f7145ebe7fa0cdfe52b0742bd0916e86b08.jpg
98,,129429021296,383197792,"CXYD12345",6,保密,"晚安",2022-09-09 22:46:04,0,1,"落日的余晖，美好的时光。 （头像来源是 最poi的Nia 大佬的作品）
将除了主机端以外的游戏打到极致，同时致力于经典的老游戏。动漫小说速补",天津,是,https://i1.hdslb.com/bfs/face/aa7e5b0f4bbf28efcc07605085913b73c96b10b2.jpg
99,,129428934960,318013091,"小张爱探索",5,保密,"我不知道这好不好，但总觉得挺突然的。",2022-09-09 22:45:25,0,3,"",重庆,否,https://i2.hdslb.com/bfs/face/b6753872785936d3f6a3fe397b5f048805b06729.jpg
100,,129429050560,381735305,"Read_Flowers丶",6,男,"女王 晚安[保佑]",2022-09-09 22:45:08,0,1,"从领奖台上走下，处处都是下坡路​。",北京,否,https://i2.hdslb.com/bfs/face/ba54be1629964e66b461882c2ea218f1bb7b3534.jpg
101,,129428694784,1508966062,"Legis",3,保密,"奇迹终将落幕，优雅永不过时，晚安，女王。",2022-09-09 22:43:38,0,19,"",江苏,否,https://i1.hdslb.com/bfs/face/0d1531c756020eaa4efd499fd23bdf20d26b87b6.jpg
