序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
12,,253710152128,626235,"斯拉休",6,男,"本来是私仇，直到看到了接应的十几骑外敌和已经剃发的比巴拉，性质就已经变了，这点从加钱居士脸色微变然后不到片刻间直接催马上前迎敌就可以看出：尽管朝廷昏庸无力，可一旦涉及家国，丁修手上的这把苗刀，依然姓戚！",2025-01-28 14:30:45,1,13,"竹杖芒鞋轻胜马，一蓑烟雨任平生",浙江,否,https://i0.hdslb.com/bfs/face/1ffeb5bc957042c4f53194b29baadd9607c391a4.jpg
13,253710152128,272028442096,481542008,"酸菜于很爱钱",4,保密,"e m，他能打过十几个骑兵就崩了，能杀十几个后金骑兵太离谱了",2025-08-10 11:52:40,0,1,"介绍什么呢？",北京,否,https://i2.hdslb.com/bfs/face/b4c0be7ebf5cb9a282e5c0ea2eeb5f67d4389785.jpg
14,,253542262352,3546645524384008,"慕灵忆雪",2,保密,"第一部到底讲了什么
感觉百度盗版",2025-01-26 19:53:44,0,0,"",福建,否,https://i1.hdslb.com/bfs/face/954491589def87b8e805f5c111a2d621e159e3f8.jpg
15,,251813458097,690206458,"昶-昶哥的昶",4,保密,"那个是铁林么？",2025-01-14 21:20:36,1,0,"",河北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
16,251813458097,257292610753,534911199,"赵文宸",4,男,"都是周一围扮演的[笑哭]",2025-03-18 16:24:10,0,0,"",重庆,否,https://i0.hdslb.com/bfs/face/b4158afb5f56da55067f27e6f187c588a2ce1e76.jpg
17,,251528010673,498248279,"笔下风月说",4,女,"哔吧啦赵靖中",2025-01-11 14:29:52,0,0,"",北京,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
18,,251771102512,241687210,"bk7170",6,保密,"剧情都说不清楚",2025-01-07 21:45:14,0,0,"",北京,否,https://i1.hdslb.com/bfs/face/336794a181ba1bb3056a82019c74efa5ea7eff3e.jpg
19,,248143985697,21383888,"druyc",6,男,"wc我薪水在唐朝大概也就值1.5两银子吗[笑哭]",2024-12-01 10:57:45,0,0,"",北京,否,https://i2.hdslb.com/bfs/face/c842c163b881e44b7afa37cd3574fafdd96455db.jpg
20,,247976369984,481935439,"求是小帆",5,男,"这电影细节真丰富，有点水平啊，不糊弄观众。",2024-11-24 21:11:13,0,0,"",浙江,否,https://i1.hdslb.com/bfs/face/e9c4061585eaec0db318eb292af400b49ff80c26.jpg
21,,246333044769,1423287998,"鼠真人不虚",5,保密,"赵靖忠找丁修杀人的时候，他连对象是谁都没问直接开口200两，说明他对自己的实力很自信，没有他杀不了的人，而且自己值这个价，赵靖忠也出得起钱。一单生意报酬就是师弟十年俸禄，说他因为贪钱天天跟在师弟后面要那一二两银子，谁信呐。",2024-11-09 00:30:44,0,6,"这个人不神秘，他什么都写了",湖南,否,https://i2.hdslb.com/bfs/face/fc23e41a2492260db27c2762373d9275cf6d8ea3.jpg
22,,246395991808,36401341,"ILCE-7RM3",6,男,"绣春刀两部电影，把里面的女主的情节去掉，评分至少能涨2分",2024-11-06 03:50:24,0,3,"不能抛弃立场实事求是的论据，皆是屁话。",四川,否,https://i1.hdslb.com/bfs/face/9503e87017c97ec91e64d012c9f7a457890600ba.jpg
23,,245144137281,286495270,"john_lilijun",6,保密,"03:33
血沟是用来减轻刀身重量的？
哈哈！up，你真逗！",2024-10-24 22:30:55,9,0,"",上海,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
24,245144137281,245144527121,1685375887,"龙吟-惊沧海",6,男,"血槽只是叫这个名称而已，并不意味着它的作用是放血。其作用本就是减轻刀身质量",2024-10-24 22:37:16,0,2,"实践是检验真理的唯一标准，理性和实践是世界的基石。今天只是今天，未来也只是今天的未来。",上海,是,https://i1.hdslb.com/bfs/face/adcc50b5e6c273d7081807f2681489076ca87889.jpg
25,245144527121,245145246481,286495270,"john_lilijun",6,保密,"回复 @龙吟-惊沧海 :你可真扯淡。
你没用刀杀过人，还没用刀杀过猪吗？
要不你分别找两把有血槽和没血槽的刀，去捅只猪试试？
还减轻重量？为了配重，金丝大环刀恨不能把刀背挂满铁环！
你还搁这减轻重量？扯淡。",2024-10-24 22:44:54,0,0,"",上海,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
26,245145246481,245146264801,1685375887,"龙吟-惊沧海",6,男,"回复 @john_lilijun :【刀的血槽可不是用来放血的，你知道是干啥的吗？-哔哩哔哩】 https://b23.tv/dfq6FA9
大刀和视频里的刀能是一回事？再说了，你不会真以为有两条沟就可以让人体流血更快吧？",2024-10-24 23:00:04,0,1,"实践是检验真理的唯一标准，理性和实践是世界的基石。今天只是今天，未来也只是今天的未来。",上海,是,https://i1.hdslb.com/bfs/face/adcc50b5e6c273d7081807f2681489076ca87889.jpg
27,245146264801,245146419265,286495270,"john_lilijun",6,保密,"回复 @龙吟-惊沧海 :颟顸。",2024-10-24 23:01:40,0,0,"",上海,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
28,245144137281,247165128368,325403510,"愚蠢的笨笨熊",6,保密,"1：46说狼牙棒60斤就可以不用看下去了，世界上哪个蠢蛋用60斤的冷兵器[吃瓜]",2024-11-15 13:35:08,0,2,"",上海,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
29,247165128368,281157861840,503067327,"我竖起来了",3,保密,"回复 @愚蠢的笨笨熊 :关羽大刀呢？人家没说剧中的就是60吧？人家说的是可达60",2025-11-01 23:34:22,0,0,"",贵州,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
30,247165128368,281157917360,503067327,"我竖起来了",3,保密,"回复 @愚蠢的笨笨熊 :冷兵器时代狼牙棒本来就是破甲效果最好的",2025-11-01 23:35:48,0,0,"",贵州,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
31,281157861840,281163981424,325403510,"愚蠢的笨笨熊",6,保密,"回复 @我竖起来了 :温馨提示，长杆武器在6斤左右，60斤你怎么自己不试一下？还是重心在前面的60斤",2025-11-02 00:33:27,0,0,"",上海,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
32,281157917360,281164113232,325403510,"愚蠢的笨笨熊",6,保密,"回复 @我竖起来了 :冷兵器狼牙棒不可能破甲，锤子一般在2斤内一斤多一点，还没刀剑重，破个鸡毛甲？",2025-11-02 00:34:24,0,0,"",上海,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
33,,245062954785,88470581,"丽丽我的女王大人",5,女,"背景音乐可以不要设置吗？",2024-10-23 20:24:32,0,0,"",四川,是,https://i2.hdslb.com/bfs/face/edc9e8122b14988390c11222963f2c73d68e7f63.jpg
34,,244718960128,1106625033,"斋藤小野耶",5,保密,"厉害了，超牛的解说啊",2024-10-16 13:19:20,0,0,"多人共号",浙江,是,https://i0.hdslb.com/bfs/face/2b6bf0b39acaf5890f1e6395590b53c39efd910b.jpg
35,,244256395361,18400397,"fanqieaisf",4,保密,"路阳懂个屁绣春刀啊 跟岸本不懂火影一样",2024-10-12 22:59:39,0,2,"",上海,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
36,,244176380929,31953450,"梦中的清音",6,男,"丁秀手握穿着高跟鞋的曹操[吃瓜]",2024-10-11 21:47:13,0,0,"你指尖跳动的光芒 是我一生不变的信仰 炮姐永存",浙江,否,https://i0.hdslb.com/bfs/face/e387666101a99d6698470cb7a43687282cc596b8.jpg
37,,244209675648,275394326,"罗曼尼克斯",5,保密,"丁修叫陆文昭什么",2024-10-09 20:43:37,0,0,"吨吨吨吨吨~ 嗝~~",未知,否,http://i2.hdslb.com/bfs/face/f9b4e4af8a9d003b69488e4a4ab149ec668708f5.jpg
38,,243747350225,87831958,"单车顽童",6,保密,"多拍拍明朝的电视剧多好的 清朝那都啥啊 发型太难看了",2024-10-06 00:11:30,0,1,"",重庆,是,https://i1.hdslb.com/bfs/face/f503691aeff3edb850a5564382d851a3fc2ad425.jpg
39,,243802157968,1399109911,"黑錦延",5,男,"(=・ω・=)",2024-10-04 18:39:38,0,0,"凸^-^凸",山东,否,https://i1.hdslb.com/bfs/face/6a4cd881639c331f5c06ffb1434c446021820fa9.webp
40,,243357898881,3546714510199481,"hkhy23",3,保密,"当年金很厉害的",2024-09-30 22:09:28,1,0,"",黑龙江,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
41,243357898881,245905426481,1071507497,"账号已注销",,保密,"是后金，金是完颜家那个",2024-11-03 14:34:36,0,0,"",广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
42,,242172066273,1231596983,"丨脏小波丨",4,男,"你要是用原音，嘎嘎点赞；要是这种合成的，看都不看",2024-09-15 13:16:13,0,0,"",重庆,否,https://i2.hdslb.com/bfs/face/44e35813f5fa21d63a8d1b91fa22d3dccae8b9c7.jpg
43,,241939312977,519174860,"张花葵",6,男,"哈哈哈",2024-09-12 13:10:35,0,1,"五行；水
太平道999+传人",内蒙古,否,https://i2.hdslb.com/bfs/face/1bd7ad17f95251407fdc9c54ef8a2f97d14a5591.jpg
44,,237208958336,3494351453817010,"原农粥火瓦",5,保密,"全是刺客出肉当然强",2024-08-12 09:33:10,0,0,"哈哈 啥笔",广东,否,https://i1.hdslb.com/bfs/face/213c33046baac9ca2e27f1ac3a5b31db8f65af73.jpg
45,,237157282992,33276865,"紫苏cake",6,男,"看了30多分钟都毫无波澜，直到31:55的时候把我整破防了[笑哭]",2024-08-11 23:09:37,0,0,"",广西,否,https://i1.hdslb.com/bfs/face/2d389764902553e6c8309557fdd051078b0f6199.jpg
46,,236440134128,3546739640371548,"账号已注销",,保密,"我没有up这么细而且博学 但是这系列电影是我为数不多莫名其妙总想反复看的国产电影 无论选角还是武器服饰有种难以言说的精致感 
今天刷到up的这个长视频全看完了而且丝毫没觉得枯燥 真的nb[支持]",2024-08-08 12:56:25,0,3,"",吉林,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
47,,236244215728,1566220,"呆蛙",6,保密,"服装跟考究是真沾不上边了，剧里的飞鱼服跟飞鱼服基本没半点关系了。[笑哭]",2024-08-07 13:56:49,0,0,"呆蛙",浙江,否,https://i1.hdslb.com/bfs/face/392fe8630119ecff9eed7cfb0eaa3d26d325e12a.jpg
48,,234426158768,1248782146,"技术宅刘表",5,保密,"喜欢这部的原因，并不是武打动作，而是他们怎么努力都没用。",2024-07-29 19:37:31,0,1,"",四川,否,http://i1.hdslb.com/bfs/face/bdf4b65b49fe0d2683e88a14cc5e1b8da56d518d.jpg
49,,233371492480,3493111145695522,"火花哇",5,男,"愿我所想成真",2024-07-24 17:54:54,0,1,"忘记过去，拥抱未来",辽宁,否,https://i1.hdslb.com/bfs/face/4c9790b9642dda4e44ddfe69cbbda2f5abfba23e.jpg
50,,231664725392,1490907307,"白癫鹏",3,女,"其实丁修是最爱师弟的一个人，他每次办事处处都在为师弟着想，磕“难同”狂喜",2024-07-15 23:17:24,0,0,"每个人都有想要忘记的过去，过去无法改变，但未来或许可以",浙江,否,https://i1.hdslb.com/bfs/face/fc7d52db0c1cb0d6427994f26027c32e027b4595.jpg
51,,230849418208,1235500041,"一亿个6",4,保密,"感觉赵靖忠用的不像枪法，而是矛法",2024-07-11 15:26:30,0,0,"",河北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
52,,229855866912,1846235025,"闪电与黛烟都爱的小田",5,男,"暗区突围，启动",2024-07-06 00:02:22,0,0,"一名想要成为医生且兴趣广泛［医学、航拍、游戏（暗区突围、BA、ttf2）等］的16岁二次元少年",加拿大,是,https://i0.hdslb.com/bfs/face/0efd7459536ea7e3960ff24baccd2ff881576f73.jpg
53,,229358003664,1775622505,"泽润1985",4,保密,"那么多年有关锦衣卫电影题材《绣春刀》是无法超越的！",2024-07-03 02:07:11,0,0,"",江苏,否,https://i1.hdslb.com/bfs/face/9a996e484508989d85acb81254555904fbb44378.jpg
54,,227660325824,3537125544823037,"爱打游戏的错题家",4,保密,"排行漏了一个唯一真神，戚继光。",2024-06-22 23:31:51,0,0,"不爱打游戏的小镇错题家不是好执键人。
爱宅爱浪爱历史爱摸鱼的邪修无产者。",广东,否,https://i2.hdslb.com/bfs/face/814806bfe61dac758c25c376c392759c9dfd1275.jpg
55,,226706420928,1026476359,"啊呀服了_",5,保密,"我只看过第二季，我就是冲着信王和魏忠贤对戏的那几分钟去的，去了之后才发现这片只有那几分钟是好看的。去之前我以为是一个什么权谋、武侠大片，去了之后......我在想什么[笑哭]男主就一个心软的日子人，你要说他心软吧他还想杀姓殷那个（叫啥记不住了）你放了他不就得了吗？谁知道啊？就算知道也没证据啊。想吐槽多一点它浪费我时间但还是算了吧，这部片只是不好看倒也没烦啥错，也没必要这么吐槽。改天去看看一，一应该不错吧",2024-06-17 02:12:12,1,0,"",贵州,是,https://i1.hdslb.com/bfs/face/03fd93b05fd489d8bc101bc05cffe17a4e1902a1.jpg
56,226706420928,226706653200,1026476359,"啊呀服了_",5,保密,"打戏我不评价，打戏比其他很多剧好了，至少打的不错，但剧情报看（我只代表我个人，我只是个观众，你骂你对）",2024-06-17 02:16:04,0,0,"",贵州,是,https://i1.hdslb.com/bfs/face/03fd93b05fd489d8bc101bc05cffe17a4e1902a1.jpg
57,,224376964496,3546695107348933,"贱多屎广哥",2,保密,"因为太监少了自信之枪，所以他要拿枪弥补自己缺的那支枪。",2024-06-02 18:50:31,0,0,"",广东,否,https://i1.hdslb.com/bfs/face/e3038af452faf0a70f22f83bd0ef7fc4866cc7e8.jpg
58,,223791180320,17991074,"糖渍果子",6,男,"是不是这种声音都是AI啊",2024-05-29 22:44:36,0,0,"恶魔轮盘交流群：479372672",天津,否,https://i2.hdslb.com/bfs/face/f5df632b1a8de159eade4d98707c05df9a757966.jpg
59,,223643082832,18369739,"003天下第一",6,男,"狼牙棒不可能六十斤，冷兵器里二十斤就算非常重得了，六十斤压根就没有实战价值了",2024-05-28 22:57:03,0,0,"",安徽,是,https://i1.hdslb.com/bfs/face/a893aadd93aaf64b24f80f8b5edc2cc8d42b4dd6.jpg
60,,218744488464,3546661366270028,"芝士高材生",3,保密,"经典",2024-04-27 13:25:33,0,0,"",吉林,否,https://i2.hdslb.com/bfs/face/5b64414a71d7adc6b22891c0a094bdc1047b13de.jpg
61,,218629799360,3537109537262164,"渊弥ym",5,男,"得加钱",2024-04-26 18:46:58,0,0,"",湖北,是,https://i1.hdslb.com/bfs/face/69971a20f05b45d89857dd6ee9b61429e5ea5f05.jpg
62,,217067375296,3493125037230875,"星神biangbiang",4,保密,"杨幂是最大败笔",2024-04-16 00:58:26,0,0,"",江苏,是,https://i2.hdslb.com/bfs/face/de8888a9f27c991b8b34e9f6cbe753d2f90227e8.jpg
63,,214744796480,3546655385193179,"象棋爱好者11",3,保密,"没看过",2024-03-31 10:25:06,0,0,"这家伙很神秘，什么都没有留下！！！",河北,否,https://i2.hdslb.com/bfs/face/1a4032f02d0861dedfc33009d9c9ffb5c24b7d02.jpg
64,,214457938960,3546649173428977,"reiter_schneider",4,保密,"不能以大米换算 唐朝 宋朝 不用化肥农药 也没有转基因 米质优劣也不想现在跨度那么大",2024-03-29 11:28:03,0,2,"广交朋友 互通有无 ",天津,否,https://i1.hdslb.com/bfs/face/1eeac02a43beaaf9ad7f48d90aa393cfa0431de0.jpg
65,,214214031024,398356660,"vazikar",5,保密,"我也最喜欢丁修这个人物，经典",2024-03-27 16:23:35,0,0,"",湖南,否,https://i1.hdslb.com/bfs/face/8a04c5a5cb9b1202481898d8e8779b3e45ae8721.jpg
66,,213869744496,479394707,"简单的安适如常",5,保密,"T0:戚继光！",2024-03-25 01:46:59,0,0,"",黑龙江,否,https://i2.hdslb.com/bfs/face/5cf721a0e9a7b982dddca79ca87ca7698a05b6a7.jpg
67,,213780965088,402218425,"账号已注销",,保密,"两部都是因为女人",2024-03-24 15:02:34,0,0,"",浙江,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
68,,212427934192,480901268,"劳模村子",5,保密,"电影不真实是真的   骑兵打布兵属于屠杀",2024-03-15 10:55:20,0,0,"",四川,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
69,,212401605728,17360799,"取个名字都造孽",5,保密,"UP有人盗你视频叫阿soul影视的。",2024-03-15 02:17:20,0,0,"换人之日就是宗教倒闭之日，这些所谓在特么公共道路上不抓着方向盘测试的人是个什么意思呢 对所有品牌都有这个疑问",重庆,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
70,,210926329824,2320607,"小大乒乓",6,男,"狼牙棒最麻烦的不是钉子  是上面一般会加金汁  然后一个加了金汁的钉子打你身体里  然后划一个伤口  你说以前的医疗条件怎么消毒",2024-03-04 14:23:49,2,1,"",湖北,否,https://i2.hdslb.com/bfs/face/c3a5bf1bf671e5435370c6c31cf2a30bf4d95356.jpg
71,210926329824,252403965920,220916615,"大涵哦",6,保密,"md太恶心了甩起来还能飞溅是吧，所谓扫把粘屎，吕布在世",2025-01-15 00:50:13,0,0,"",广东,是,http://i2.hdslb.com/bfs/face/f26e711f6ed21493fabb8c01d67c523bda699462.jpg
72,252403965920,252480216288,2320607,"小大乒乓",6,男,"回复 @大涵哦 :以前的攻城  会用火油参屎大面积烧伤附带剧毒buff才是恶心",2025-01-15 22:33:53,0,0,"",湖北,否,https://i2.hdslb.com/bfs/face/c3a5bf1bf671e5435370c6c31cf2a30bf4d95356.jpg
73,,210864302720,44040128,"NOVA一一一龍少爺",6,男,"很细 甚至用了骑砍模拟",2024-03-03 23:36:58,0,0,"",广东,否,https://i2.hdslb.com/bfs/face/71015bc58d8285c9cd9de521ca597c97ae5f4a28.jpg
74,,210706055120,206894702,"流逝而去",6,保密,"这部电影我就记住了很润居士了。这货从开始看着不像好人但是他招招对师弟手下留情我就琢磨过来了这货是那种嘴硬心善的人。不过他的战力实在太变态了自己润了一票的蒙古骑兵……",2024-03-02 22:49:55,1,3,"",山东,否,http://i2.hdslb.com/bfs/face/2189fdd7314e144e3dfef07ed06420e80c1b3fe6.jpg
75,210706055120,263524968688,609719543,"一只狐狸在冲浪呀",5,男,"那是清军",2025-05-23 10:53:17,0,0,"怎么还没到6级
",广东,是,https://i2.hdslb.com/bfs/face/b80059b5fb6b4ab6e955408f4867e0ced2a2b591.jpg
76,,210685300784,291227416,"Alienumbrell",6,保密,"沈炼能活到最后的原因：肉",2024-03-02 20:36:18,0,1,"三角洲行动代肝哈弗币7r 100w",河南,否,https://i1.hdslb.com/bfs/face/9f99b0d961a51522da711feb0e1a0776eccb0bdd.jpg
77,,207234952288,7962390,"迈徳漠斯",6,男,"说像小日本刀法感觉在侮辱人",2024-02-09 16:22:40,0,0,"请输入文本",山东,否,https://i0.hdslb.com/bfs/face/6102a7c5ff517dbbb9ca8b51586c84804f79198c.jpg
78,,207214063696,402651072,"请叫我-樊-鼠-鼠",6,男,"我老祖宗就是锦衣卫的，我们族谱有记载，跟着朱元璋打天下，然后朱元璋让我老祖宗去锦衣卫从五品，管军百户，之后又进殿面圣升了一级。",2024-02-09 13:54:51,0,3,"",河南,是,https://i0.hdslb.com/bfs/face/52a5baf11484846b1eb8a911f8f3443acc26f864.jpg
79,,206538755824,313914515,"小人净天",6,保密,"沈炼打比他强的人都有胜算主要是他太肉了，寻常人当场失去战力的伤势，搁他那只是区区致命伤。
设使你是武林高手，你此前从未知道这么一个人，某天你跟沈炼对战，你给了他一刀/剑/棍/枪等在你看来已可致命的伤害后，你稍微有点放松了，他却突然反手给你一刀，你也得翻车……",2024-02-05 17:08:33,0,1,"唯愿此身无所用，千载社稷长太平。",广西,否,https://i2.hdslb.com/bfs/face/62096e974d90b8a852d18820b98e26734a05fb05.jpg
80,,206433784352,317168517,"Chen賢",6,男,"真好看",2024-02-04 23:33:51,0,0,"烟花易冷。",广东,是,http://i0.hdslb.com/bfs/face/f3717c02120d010538cc1ad2e041017b02e5388f.jpg
81,,202690329792,323708306,"Handsomerfs",5,男,"明朝 中国古代最后的辉煌",2024-01-11 16:39:30,0,3,"",安徽,是,https://i2.hdslb.com/bfs/face/9b5d21c53b31030b24e563e48f8283165a666d48.jpg
82,,202472734448,3461579406314172,"网友飞顺蝗",5,保密,"丁修的本质就是个敲诈勒索的地痞流氓",2024-01-10 00:31:27,0,0,"你爹一键已读，不看你狗叫",湖南,否,https://i0.hdslb.com/bfs/face/9ff5cc503559d1020bf14839fc61ba26dd62d0f4.jpg
83,,202291764784,313309817,"gyGY123123",4,保密,"大神，关注你一百万年，你可一定要一直活着，佩服得五体投地！！！甚至到想要微信[妙啊]",2024-01-08 20:18:00,0,0,"",吉林,否,https://i2.hdslb.com/bfs/face/dc18c5769d1354cf80b0119744e75df864251f0b.jpg
84,,201785381584,232708466,"ShieldGuard",6,男,"什么狼牙棒能60斤啊[tv_目瞪口呆]60斤什么概念，一身全身重甲差不多就60斤了……",2024-01-05 13:18:16,1,0,"Talking to the Moon.
I still waiting for this world to stop hating.",辽宁,是,https://i2.hdslb.com/bfs/face/c4dd4ca9836cdf726514ac3ce851ad559f767523.jpg
85,201785381584,205082765920,1746309272,"突破一米六九",5,女,"确实啊，举倒是好说，这玩意儿要挥舞的，谁使得动",2024-01-27 16:52:42,0,0,"垫垫脚，吻一吻凯旋的黄昏",山东,否,https://i2.hdslb.com/bfs/face/e6a73bdf90ad6482657e947e454a184935c61f7a.jpg
86,,201700079808,158236517,"甲亢哥来了",6,男,"1：朝代政变之下三个主角随波逐流的故事，间杂一点爱情故事和个人恩怨
2：改朝换代下普通底层官员的站队故事，跟错队伍一不小心魂飞湮灭，夹杂一点爱情故事",2024-01-04 20:55:34,0,1,"",浙江,否,https://i2.hdslb.com/bfs/face/8473486b2e9f804f84a613702ec356a5cdadf908.jpg
87,,201136671264,2260212,"塔夏",6,男,"清朝人那个金钱鼠尾虽然丑了点，但在那个时代比汉人的头发好打理还卫生。",2024-01-01 01:08:18,0,2,"所有命运的馈赠早已在暗中标好了价格。
教练，我想尝下魔女的滋味!!!",吉林,否,https://i0.hdslb.com/bfs/face/edbb85100f22cdaf9580456be807e17cee13250a.jpg
88,,201135894256,2260212,"塔夏",6,男,"这电影里的太监一个比一个刚猛。",2024-01-01 01:03:16,0,0,"所有命运的馈赠早已在暗中标好了价格。
教练，我想尝下魔女的滋味!!!",吉林,否,https://i0.hdslb.com/bfs/face/edbb85100f22cdaf9580456be807e17cee13250a.jpg
89,,199729150672,686767523,"是你小子把up主引来的",5,保密,"翻拍LOL罢了，上路蛮王和打野剑圣为了给中路卡特报仇冲对面高地，蛮王看见人马先开W然后E脸，近身吃伤害享受Q的加成，然后看血线交R，杀完了凯旋和Q回一口老血不死再去帮打野剑圣，谁知道剑圣野区单杀赵信，结果两个大残没办法打大龙只能商量回城[doge][doge]",2023-12-22 14:44:36,0,0,"",广西,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
90,,198333579712,299864189,"小飞慢点吃堡",6,男,"2张多[个性灵笼_耶]",2023-12-12 21:35:18,0,0,"此情经年深，此恨度日久http://10.115.241.70/files/307600000482791D/dl.pavostudio.c",天津,是,https://i2.hdslb.com/bfs/face/c2c13f6b03c12047617b32500344e072e083f199.jpg
91,,198319291856,483642843,"小丑-极",5,保密,"丁修说得加钱的时候，明显是对那个锦衣卫有必死的杀心了",2023-12-12 19:56:22,0,0,"",江苏,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
92,,197466672512,539284982,"恨古千秋",6,男,"陆文昭感觉比裴伦强，他只是被裴伦背刺了，之前跟他一打一是碾压的",2023-12-07 00:21:45,0,0,"男人的硬币不就是用来被擦边女骗的吗",吉林,否,https://i2.hdslb.com/bfs/face/6a193d4973c870251b8adf3a8dc2862d108d743a.webp
93,,196377129488,401029698,"刘老板太忙114514193",6,男,"还有个原因。是因为丁修他逼迫师弟离开锦衣卫是因为。一个王朝的末期。锦衣卫这种职业已经是百分百刀尖舔血的职业了。百分之90多的高危没命职业。师弟如果没了。他就只一个人了。",2023-11-29 07:51:17,0,1,"半醒半梦半沉浮，一人一笔一世界。",广东,否,https://i0.hdslb.com/bfs/face/5934bda37bdc6ce55926b5ecb441b8d242d33965.jpg
